filename,Rice_or_chips,Diet,Cuisine_org,Cuisine,Dish_name,Home_or_restaurant,Ingredients,Healthiness_rating,Healthiness_rating_int,Likeness,Likeness_int,Benchmark_A
000001.jpg,Rice,non_vegetarian,japanese,japanese,chicken_katsu_rice,marugame_udon,"rice,chicken_breast,spicy_curry_sauce",neutral,3.0,like,4.0,Train
000016.jpg,Rice,vegan,indian,indian,khichdi,home,"rice,spices,herbs",healthy,4.0,neutral,3.0,Test
000020.jpg,Rice,vegetarian,indian,indian,lentil-based_vegetable_stew_with__rice,home,"ingredients:
for_cooking_rice:
1_cup_rice_(any_variety_such_as_sona_masoori_or_basmati)
2_cups_water
for_sambar:
1/2_cup_toor_dal_(split_pigeon_peas)
1_small_lemon-sized_tamarind_ball
1_small_onion,finely_chopped
1_small_tomato,chopped
1/2_cup_mixed_vegetables_(carrots,beans,drumsticks,pumpkin,etc.),chopped
2-3_green_chilies,slit
1/4_teaspoon_turmeric_powder
1/2_teaspoon_sambar_powder_(adjust_to_taste)
salt,to_taste
a_pinch_of_asafoetida_(hing)
2_tablespoons_oil
1/2_teaspoon_mustard_seeds
1/2_teaspoon_cumin_seeds
2-3_dry_red_chilies
8-10_curry_leaves
2_tablespoons_chopped_fresh_coriander_leaves
1-2_tablespoons_ghee_(clarified_butter)_for_garnish_(optional)",healthy,4.0,like,4.0,Test
000021.jpg,Rice,non_vegetarian,asian,asian,biryani,home,"mutton,rice,onion,tomato,red_chilli_powder,salt,sunflower_oil",healthy,4.0,strongly_like,5.0,Train
000022.jpg,Rice,vegetarian,indian,indian,rice_beetroot_curry,home,"rice,beetroot,salt,spices",very_healthy,5.0,neutral,3.0,Train
000024.jpg,Chips,vegan,british,british,pie_and_chips,home,"mushroom_pie,chips,peas",neutral,3.0,like,4.0,Train
000026.jpg,Rice,non_vegetarian,pakistani,pakistani,chicken_biryani,home,"rice,chicken,biryani_masala,yogurt,oil,green_chilli,lemon,dried_plums",healthy,4.0,strongly_like,5.0,Train
000035.jpg,Rice,vegan,indian,indian,cauliflower_curry_rice,home,"rice,cauliflower,spices,ginger,garlic,chillies,pepper",very_healthy,5.0,strongly_like,5.0,Train
000038.jpg,Rice,non_vegetarian,indian,indian,rice_with_chicken_curry,home,"boiled_rice,chicken,sunflower_oil,chilli_powder,turmeric_powder,onion,tomato,salt,garam_masala,pepper_powder,green_chilli,coconut_milk",healthy,4.0,strongly_like,5.0,Test
000039.jpg,Rice,vegetarian,south_indian,south_indian,khichidi,home,"rice,moong_lentils,ghee,cumin_seeds,ginger",very_healthy,5.0,like,4.0,Test
